ricf_oid_2013	ba_cn	fp_dt	fa_dine	fa_asine	fa_sine	fa_gse	fa_pine	fa_gine	fa_inine	fa_otine	fa_intoe	fa_accoe	fa_adexe	fa_fuexe	fa_otexe	fa_cotoe	fa_etoue	fa_chase	fa_neche	fa_dinu	fa_asinu	fa_sinu	fa_gsu	fa_pinu	fa_ginu	fa_ininu	fa_otinu	fa_intou	fa_accou	fa_adexu	fa_fuexu	fa_otexu	fa_cotou	fa_etouu	fa_chasu	fa_nechu	ricf_oid	ba_uscc
19	上海交通大学教育发展基金会	2013	154854022.53	0	0.0		0	0.0	27471963.97	0.0	182325986.5	0.0	0.0	0.0	0.0	0.0	76795830.38		105530156.1	0.0	0.0	0.0		0.0	0.0	10156837.13	1355048.09	11511885.22	77323247.27	310610.51	3534.23	0.0	77637392.01	-76795830.38		10670323.59	19.0	53310000501777985E
20	上海仁德基金会	2013	2489900.2	0	0.0		0	70000.0	0.0	0.0	2559900.2	0.0	0.0	0.0	0.0	0.0	923321.6		1636578.6	1555032.19	0.0	0.0		0.0	0.0	138018.09	6960.62	1700010.9	1941253.0	234236.95	180888.5	5930.85	2362309.3	-923321.6		261023.2	20.0	53310000501781829B
21	上海公安金盾基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	912950.0	0.0	0.0	0.0	912950.0	0.0		-912950.0	33000000.0	0.0	0.0		0.0	0.0	8615298.64	130690.55	41745989.19	8086356.3	161694.7	0.0	0.0	8248051.0	0.0		33497938.19	21.0	533100005017813781
22	上海兴华教育扶贫基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	13179886.53	0.0	0.0		0.0	0.0	1668903.51	44291.13	14893081.17	4184087.5	314167.28	3426.5	1375050.07	5876731.35	0.0		9016349.82	22.0	53310000501780084D
23	上海兴韦信息技术职业学院教育发展基金会	2013	7000000.0	0	0.0		0	0.0	0.0	0.0	7000000.0	6800000.0	0.0	0.0	0.0	6800000.0	0.0		200000.0	2000000.0	0.0	0.0		0.0	0.0	0.0	7774.86	2007774.86	0.0	0.0	2000.5	0.0	2000.5	0.0		2005774.36	23.0	53310000501782290U
24	上海刘浩清公益基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	236.05	236.05	0.0	0.0	0.0	0.0	0.0	0.0		236.05	24.0	53310000501781394N
25	上海医学创新发展基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	3564705.83		0.0	0.0	0.0	0.0	3564705.83	3373444.5	205877.9	-11803.92	0.0	3567518.48	0.0		-2812.65	25.0	53310000501782231Q
26	上海华东政法大学教育发展基金会	2013	3310000.0	0	0.0		0	0.0	14761.64	3873.56	3328635.2	1040636.04	0.0	0.0	0.0	1040636.04	-490000.0		2777999.16	78791.6	0.0	0.0		0.0	0.0	56454.8	35170.03	170416.43	22400.0	69998.16	0.0	0.0	92398.16	490000.0		-411981.73	26.0	533100005017816694
27	上海华东理工大学教育发展基金会	2013	8293497.47	0	0.0		0	0.0	0.0	0.0	8293497.47	5786915.03	0.0	0.0	0.0	5786915.03	0.0		2506582.44	0.0	0.0	0.0		0.0	0.0	0.0	113573.22	113573.22	0.0	127415.48	0.0	0.0	127415.48	0.0		-13842.26	27.0	533100005017817738
28	上海华信公益基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	37546013.35	0.0	0.0		0.0	0.0	1157567.14	169506.73	38873087.22	16162267.01	1263523.38	7388.25	65402.55	17498581.19	0.0		21374506.03	28.0	53310000501781618U
29	上海华杰仁爱基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	650000.0	0.0	0.0		0.0	0.0	0.0	0.0	650000.0	561826.0	54639.28	0.0	0.0	616465.28	0.0		33534.72	29.0	533100005017795856
30	上海发展昆剧基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	100805.0		0.0	0.0	0.0	40156.53	140961.53	222689.58	64485.31	0.0	0.0	287174.89	0.0		-146213.36	30.0	533100005017728502
31	上海发展研究基金会	2013	300000.0	0	0.0		0	0.0	0.0	0.0	300000.0	229566.7	24300.0	0.0	0.0	253866.7	0.0		46133.3	590000.0	0.0	0.0		0.0	0.0	1484408.33	16766.47	2091174.8	1123068.69	803611.05	0.0	2535.06	1929214.8	0.0		161960.0	31.0	5331000050177483X8
32	上海同济大学教育发展基金会	2013	68391601.93	0	0.0		0	0.0	0.0	0.0	68391601.93	0.0	0.0	0.0	0.0	0.0	50913644.57		17477957.36	765747.2	0.0	0.0		0.0	0.0	0.0	0.0	765747.2	51165689.99	524407.37	-2583927.19	0.0	49106170.17	-50913644.57		2573221.6	32.0	5331000050177993X2
33	上海同济高廷耀环保科技发展基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	570000.0	0.0	0.0		0.0	0.0	0.0	300968.92	870968.92	752984.32	42059.36	0.0	0.0	795043.68	0.0		75925.24	33.0	53310000501778750P
34	上海向阳公益基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	550000.0	0.0	0.0		0.0	0.0	0.0	0.0	550000.0	285000.0	28320.4	-14231.55	0.0	299088.85	0.0		250911.15	34.0	53310000501781810E
35	上海吴孟超医学科技基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	5067865.14	0.0	0.0		0.0	0.0	0.0	20416.41	5088281.55	3992859.66	104690.13	0.0	0.0	4097549.79	0.0		990731.76	35.0	53310000501779155C
36	上海唐君远教育基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4184516.57		-4184516.57	5183000.0	0.0	0.0		0.0	0.0	6282008.33	1235429.3	12700437.63	14785301.6	5535135.34	0.0	181431.0	20501867.94	-4184516.57		-3616913.74	36.0	53310000501777387J
37	上海商学院教育发展基金会	2013	1000000.0	0	0.0		0	0.0	0.0	0.0	1000000.0	287000.0	0.0	0.0	0.0	287000.0	0.0		713000.0	571102.0	0.0	0.0		0.0	0.0	0.0	0.0	571102.0	62975.0	1933.0	-4427.99	0.0	60480.01	0.0		510621.99	37.0	53310000501781992J
38	上海喜玛拉雅文化艺术基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	4450000.0	0.0	0.0		0.0	0.0	0.0	0.0	4450000.0	6093000.0	362337.8	0.0	606.34	6455944.14	0.0		-2005944.14	38.0	53310000501782071H
39	上海嘉宝公益基金会	2013	20500000.0	0	0.0		0	0.0	0.0	0.0	20500000.0	1150000.0	0.0	0.0	0.0	1150000.0	0.0		19350000.0	0.0	0.0	0.0		0.0	0.0	0.0	908289.21	908289.21	0.0	530.0	0.0	0.0	530.0	0.0		907759.21	39.0	53310000501782354R
40	上海国泰君安社会公益基金会	2013	296000.0	0	0.0		0	0.0	0.0	0.0	296000.0	0.0	0.0	0.0	0.0	0.0	285000.0		11000.0	12071201.42	0.0	0.0		0.0	0.0	281038.35	0.0	12352239.77	1308542.2	40483.8	-4810.75	59829.94	1404045.19	-285000.0		11233194.58	40.0	533100005017818969
41	上海国际经济交流基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	793271.83	0.0	793271.83	585889.8	88097.0	-607.27	-32650.04	640729.49	0.0		152542.34	41.0	533100005017753309
42	上海复大公益基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	416800.0	0.0	0.0		0.0	0.0	0.0	142319.5	559119.5	710000.0	78474.98	0.0	0.0	788474.98	0.0		-229355.48	42.0	533100005017816507
43	上海复旦大学教育发展基金会	2013	56983245.58	0	0.0		0	0.0	1546492.55	0.0	58529738.13	0.0	0.0	0.0	0.0	0.0	47862173.59		10667564.54	17754.39	0.0	0.0		0.0	0.0	675767.9	2946775.14	3640297.43	48124173.59	1654673.33	275015.48	0.0	50053862.4	-47862173.59		1448608.62	43.0	53310000501779147H
44	上海复星公益基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	22846240.0	0.0	0.0		0.0	0.0	0.0	0.0	22846240.0	17720922.4	108138.8	-11147.09	0.0	17817914.11	0.0		5028325.89	44.0	53310000501782119R
45	上海夏征农民族文化教育发展基金会	2013	2192282.92	0	0.0		0	0.0	0.0	0.0	2192282.92	2075272.92	0.0	0.0	0.0	2075272.92	0.0		117010.0	465000.0	0.0	0.0		0.0	0.0	0.0	0.0	465000.0	0.0	221609.63	-5868.0	0.0	215741.63	0.0		329600.42	45.0	53310000501780666K
46	上海外国语大学教育发展基金会	2013	3789026.13	0	0.0		0	0.0	0.0	0.0	3789026.13	3082496.28	0.0	0.0	0.0	3082496.28	0.0		706529.85	600000.0	0.0	0.0		0.0	0.0	0.0	350399.05	950399.05	535645.6	34724.7	0.0	0.0	570370.3	0.0		380028.75	46.0	53310000501781095Q
48	上海天下文化发展基金会	2013	30000.0	0	0.0		0	0.0	0.0	0.0	30000.0	350000.0	11500.0	0.0	2324.29	363824.29	0.0		-333824.29	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	48.0	533100005017811169
49	上海宇兴爱心慈善基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	4202.32	4202.32	0.0	0.0	0.0	0.0	0.0	0.0		4202.32	49.0	53310000501782557E
50	上海宋庆龄基金会	2013	51914320.24	0	0.0		0	0.0	0.0	0.0	51914320.24	0.0	0.0	0.0	0.0	0.0	34945292.31		16969027.93	137795.04	0.0	0.0		0.0	0.0	8084375.7	239738.45	8461909.19	34945462.31	3174112.76	0.0	0.0	38119575.07	-34945292.31		5287626.43	50.0	53310000501775082K
51	上海富国环保公益基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	300000.0	0.0	0.0		0.0	0.0	77713.53	520.38	378233.91	221454.63	6480.5	0.0	0.0	227935.13	0.0		150298.78	51.0	5331000050178187XE
52	上海工商界爱国建设特种基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0	7245999.8	97979.9	7343979.7	5736692.7	1609961.8	0.0	664.1	7347318.6	0.0		-3338.9	52.0	5331000050177387X5
53	上海巴斯德健康研究基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	16000000.0	0.0	399495.53	16399495.53	16000000.0	49051.92	0.0	0.0	16049051.92	0.0		350443.61	53.0	53310000501780252F
54	上海市中小学幼儿教师奖励基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	248050.0	0.0	0.0		0.0	0.0	6122780.68	2071747.96	8442578.64	6165188.34	471874.75	0.0	0.0	6637063.09	0.0		1805515.55	54.0	53310000501772199A
55	上海市九段沙湿地自然保护基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	15000.0	0.0	0.0		0.0	0.0	0.0	521363.61	536363.61	143464.0	5906.5	0.0	0.0	149370.5	0.0		386993.11	55.0	533100005017795263
56	上海市人口福利基金会	2013	7134560.69	0	0.0		0	0.0	0.0	0.0	7134560.69	5393188.3	0.0	0.0	0.0	5393188.3	0.0		1741372.39	455805.0	0.0	0.0		0.0	0.0	43890.41	0.0	499695.41	520685.0	191431.5	-20182.88	0.0	691933.62	0.0		-192238.21	56.0	53310000501772359H
57	上海市体育发展基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	18925384.1	0.0	0.0		0.0	4290000.0	0.0	0.0	23215384.1	24472626.87	1897572.4	-917647.77	0.0	25452551.5	0.0		-2237167.4	57.0	5331000050177301XH
58	上海市促进科技成果转化基金会	2013	0.0	0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	70000.0	0.0	0.0		0.0	0.0	3587441.86	7982.78	3665424.64	3366258.2	217494.06	0.0	2918.1	3586670.36	0.0		78754.28	58.0	533100005017806236
59	上海市儿童健康基金会	2013	10469165.95	0	0.0		0	0.0	0.0	2199.03	10471364.98	0.0	0.0	0.0	0.0	0.0	5384308.02		5087056.96	589148.5	0.0	0.0		0.0	0.0	0.0	494508.26	1083656.76	6086481.43	586266.53	344.1	0.0	6673092.06	-5384308.02		-205127.28	59.0	53310000501772885L
60	上海市儿童基金会	2013	4519139.9	0	0.0		0	0.0	0.0	0.0	4519139.9	3198944.0	0.0	0.0	0.0	3198944.0	0.0		1320195.9	0.0	0.0	0.0		0.0	0.0	130015.06	859107.19	989122.25	0.0	260853.06	0.0	0.0	260853.06	0.0		728269.19	60.0	533100005017734741
61	上海市医药卫生发展基金会	2013	14790803.37	0	0.0		0	0.0	0.0	0.0	14790803.37	0.0	0.0	0.0	0.0	0.0	6866111.18		7924692.19	9980000.0	0.0	0.0		0.0	3800000.0	886743.2	19058.58	14685801.78	7379289.18	539299.01	2202.0	0.0	7920790.19	-6866111.18		13631122.77	61.0	5331000050178195X2
63	上海市华侨事业发展基金会	2013	875503.36	0	0.0		0	0.0	0.0	0.0	875503.36	0.0	0.0	0.0	0.0	0.0	0.0		875503.36	11214075.95	0.0	0.0		0.0	4286500.0	969469.73	13935.65	16483981.33	14623158.3	1093404.82	793231.15	0.0	16509794.27	0.0		-25812.94	63.0	53310000501779980D
