机构ID	机构名称	数据年度	货币资金	短期投资	应收款项	预付账款	存货	待摊费用	一年内到期的长期债权投资	其他流动资产	流动资产合计	长期股权投资	长期债权投资	其他长期投资	长期投资合计	固定资产原价	累计折旧	固定资产净值	在建工程	文物文化资产	固定资产清理	固定资产合计	无形资产	受托代理资产	资产合计	短期借款	应付款项	应付工资	应交税金	预收帐款 	预提费用	预计负债	一年内到期的长期负债	其他流动负债	流动负债合计	长期借款	长期应付款	其他长期负债	长期负债合计	受托代理负债	负债合计	非限定性净资产	限定性净资产	净资产合计	负债和净资产合计
ricf_id	ba_cn 	fp_yr	fp_csh 	fp_sti 	fp_rec 	fp_prp 	fp_rm 	fp_deex 	fp_onin 	fp_tofl 	fp_tofl 	fp_lost 	fp_lode 	fp_loin 	fp_loto 	fp_fior 	fp_fide 	fp_fias 	fp_inbu 	fp_clas 	fp_fifx 	fp_fito 	fp_noas 	fp_agas 	fp_asto 	fp_shbo 	fp_shpa 	fp_shsa 	fp_shta 	fp_fra 	fp_prex 	fp_prde 	fp_ode 	fp_otde	fp_flde 	fp_lobo 	fp_lopa 	fp_otld 	fp_ldto 	fp_agd 	fp_det 	fp_unls	fp_lims 	fp_ntt 	fp_tt
1	一汽自主创新沈曾华奖励基金会	2014	14479831.21	0	0	0	0.00	0	0	0	14479831.21	0	0	0	0	0	0	0	0	0	0	0	0	0	14479831.21	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	14479831.21	0	14479831.21	14479831.21
2	一达助学（伊春）基金会	2014	1000.86	0	368334	0		0	0	0	369334.86	0	0	0	0	0	0	0	0	0	0	0	0	0	369334.86	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	369334.86	0	369334.86	369334.86
3	万科公益基金会	2014	16630728.48	0	1139990	0	98,351.07	0	0	0	17869069.55	94731309	0	0	94731309	0	0	0	0	0	0	0	0	0	112600378.55	0	60000	0	0		0	0	0	0	60000	0	0	0	0	0	60000	80609055.07	31931323.48	112540378.55	112600378.55
5	三亚市法律援助基金会	2014	3904384.5	0	0	0		0	0	0	3904384.5	0	0	0	0	9450	6037.73	3412.27	0	0	0	3412.27	0	0	3907796.77	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	3907796.77	0	3907796.77	3907796.77
6	三明学院教育发展基金会	2014	31411468.04	0	0	0	0.00	0	0	0	31411468.04	0	0	0	0	0	0	0	0	0	0	0	0	0	31411468.04	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	2411468.04	29000000	31411468.04	31411468.04
7	三江学院教育发展基金会	2014	4844406.99	0	20000000	0		0	0	0	24844406.99	0	0	0	0	0	0	0	0	0	0	0	0	0	24844406.99	0	400	0	0		0	0	0	0	400	0	0	0	0	0	400	24844006.99	0	24844006.99	24844406.99
8	三江源生态保护基金会	2014	2752595.92	13000000	234709	0	0.00	0	0	0	15987304.92	300000000	0	0	300000000	2984023	0	2984023	0	0	0	2984023	0	0	318971327.92	0	114000	0	0		0	0	0	0	114000	300000000	0	0	300000000	0	300114000	18857327.92	0	18857327.92	318971327.92
9	三门县人民教育基金会	2014	136011.73	0	100000	0	0.00	0	0	0	236011.73	0	0	0	0	4680	4680	0	0	0	0	0	0	0	236011.73	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	-392398.3	628410.03	236011.73	236011.73
10	上海七弦古琴文化发展基金会	2014	65146.7	0	3600000	0		0	0	0	3830146.7	100000	0	0	100000	130000	57370.32	72629.68	0	0	0	72629.68	0	0	4002776.38	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	4002776.38	0	4002776.38	4002776.38
11	上海万宇慈善基金会	2014	5020357.63	0	0	0		0	0	0	5020357.63	0	0	0	0	0	0	0	0	0	0	0	0	0	5020357.63	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	5020357.63	0	5020357.63	5020357.63
12	上海世华民族艺术瑰宝回归基金会	2014	535194.32	620000	0	100000		0	0	0	2132994.32	0	0	0	0	0	0	0	0	0	0	0	0	0	2132994.32	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	2132994.32	0	2132994.32	2132994.32
13	上海东华大学教育发展基金会	2014	30643914.24	0	0	0		0	0	0	30643914.24	0	0	0	0	0	0	0	0	0	0	0	0	0	30643914.24	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	22122670.19	8521244.05	30643914.24	30643914.24
14	上海东方文化艺术基金会	2014	1347578.1	0	98462.45	0		150000.18	0	0	1596040.73	0	0	0	0	5449183	4933349.31	515833.69	0	0	0	515833.69	0	0	2111874.42	0	2904.8	0	7397.6		0	0	0	0	10302.4	0	0	0	0	0	10302.4	2101572.02	0	2101572.02	2111874.42
15	上海东方爱心基金会	2014	1493.36	0	0	0		0	0	625	2118.36	1000000	0	0	1000000	690728	413140.84	277587.16	0	0	0	277587.16	0	0	1279705.52	0	0	0	0		0	0	0	31695.8	31695.8	0	0	0	0	0	31695.8	1248009.72	0	1248009.72	1279705.52
16	上海中华职业教育温暖工程基金会	2014	3454890.17	0	0	0		0	0	0	3454890.17	0	0	0	0	16100	13291.31	2808.69	0	0	0	2808.69	0	0	3457698.86	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	3457698.86	0	3457698.86	3457698.86
17	上海中欧国际工商学院教育发展基金会	2014	82512468.4	0	0	0		0	0	0	82512468.4	25000000	0	0	25000000	0	0	0	0	0	0	0	0	0	107512468.4	0	1276702.71	0	409031.93		0	0	0	0	1685734.64	0	0	0	0	0	1685734.64	66968813.34	38857920.42	105826733.76	107512468.4
18	上海交响乐团文化发展基金会	2014	16252508.63	50000000	430257.38	0		0	0	0	66682766.01	1000000	0	0	1000000	20609	19553.09	1055.91	0	0	0	1055.91	0	0	67683821.92	0	0	0	4712.42		0	0	0	0	4712.42	0	0	0	0	0	4712.42	29323244.52	38355864.98	67679109.5	67683821.92
19	上海交通大学教育发展基金会	2014	106345460.59	89450424.96	1310901.23	0		0	0	0	197106786.78	731887200	30000000	0	761887200	8001530.15	7349716.93	651813.22	0	655000	0	1306813.22	0	0	960300800	0	89417.18	0	0		0	0	0	0	89417.18	0	0	0	0	151000000	151089417.18	115747127.46	693464255.36	809211382.82	960300800
20	上海仁德基金会	2014	1387527.49	4500000	75320.1	0		0	0	0	5962847.59	0	0	0	0	45712	21046.38	24665.62	0	0	0	24665.62	0	0	5987513.21	0	356171.13	0	0		0	0	0	0	356171.13	0	0	0	0	0	356171.13	4344090.98	1287251.1	5631342.08	5987513.21
21	上海公安金盾基金会	2014	171123302.45	0	0	0		0	0	0	171123302.45	0	0	0	0	16600	10640	5960	0	0	0	5960	0	0	171129262.45	0	1000000	0	0		0	0	0	0	1000000	0	0	0	0	0	1000000	168269682.98	1859579.47	170129262.45	171129262.45
22	上海兴华教育扶贫基金会	2014	1316612.78	74433243.31	0	42833.5		0	0	0	75792689.59	0	0	0	0	1530998	171947.87	1359050.13	0	0	0	1359050.13	0	0	77151739.72	0	807110.7	0	0		0	0	0	0	807110.7	0	0	0	0	0	807110.7	76344629.02	0	76344629.02	77151739.72
23	上海兴韦信息技术职业学院教育发展基金会	2014	2125991.83	0	0	0		0	0	0	2125991.83	0	0	0	0	0	0	0	0	0	0	0	0	0	2125991.83	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	1995991.83	130000	2125991.83	2125991.83
24	上海刘浩清公益基金会	2014	1857307.79	0	0	0		0	0	0	1857307.79	0	0	0	0	0	0	0	0	0	0	0	0	0	1857307.79	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	1857307.79	0	1857307.79	1857307.79
25	上海医学创新发展基金会	2014	5508675.94	0	3374802.62	500000		0	0	0	9383478.56	0	0	0	0	6982	4460.62	2521.38	0	0	0	2521.38	0	0	9385999.94	0	991546.07	0	-220057.47		0	0	0	0	4388213.6	0	0	0	0	0	4388213.6	1167599.17	3830187.17	4997786.34	9385999.94
26	上海华东政法大学教育发展基金会	2014	1874888.21	6000000	0	0		0	0	0	7874888.21	0	0	0	0	487471.81	51156.22	436315.59	0	0	0	436315.59	0	0	8311203.8	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	1997358.35	6313845.45	8311203.8	8311203.8
27	上海华东理工大学教育发展基金会	2014	16679836.85	0	1175.17	0		0	0	0	16681012.02	0	0	0	0	0	0	0	0	0	0	0	0	0	16681012.02	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	2000000	14681012.02	16681012.02	16681012.02
28	上海华信公益基金会	2014	32047150.6	0	0	197288		46178.53	0	8790.4	32510181.5	0	0	0	0	8180	3135.59	5044.41	0	0	0	5044.41	0	0	32515225.91	0	13262.5	0	691.91		0	0	0	0	13954.41	0	0	0	0	0	13954.41	32501271.5	0	32501271.5	32515225.91
29	上海华杰仁爱基金会	2014	1080771.43	0	0	0		0	0	0	1080771.43	1800000	0	0	1800000	20950	20950	0	0	0	0	0	0	0	2880771.43	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	2880771.43	0	2880771.43	2880771.43
30	上海发展昆剧基金会	2014	2237295.97	0	196814.56	0		0	0	0	2434110.53	0	0	0	0	339396.35	322426.53	16969.82	0	0	0	16969.82	0	0	2451080.35	0	0	64667.54	0		0	0	0	0	64667.54	0	0	0	0	0	64667.54	386412.81	2000000	2386412.81	2451080.35
31	上海发展研究基金会	2014	1849566.02	0	33560	0		15814.44	0	0	1898940.46	0	14000000	0	14000000	415691.88	293779.33	121912.55	0	0	0	121912.55	0	0	16020853.01	0	1419273.31	0	22690.47		0	0	0	0	1441963.78	0	0	0	0	0	1441963.78	1612024.66	12966864.57	14578889.23	16020853.01
32	上海同济大学教育发展基金会	2014	82209771.86	83000000	5500000	0		0	0	0	170709771.86	0	9300000	0	9300000	88665	77740.3	10924.7	0	0	0	10924.7	0	0	180020696.56	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	22341906.43	157678790.13	180020696.56	180020696.56
33	上海同济高廷耀环保科技发展基金会	2014	12111622.87	0	1000	0		0	0	0	12112622.87	0	0	0	0	32829	30157.17	2671.83	0	0	0	2671.83	0	0	12115294.7	0	0	0	0		0	0	0	0	6400000	0	0	0	0	0	6400000	5715294.7	0	5715294.7	12115294.7
34	上海向阳公益基金会	2014	12763454.66	0	0	0		0	0	0	12763454.66	0	0	0	0	0	0	0	0	0	0	0	0	0	12763454.66	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	12763454.66	0	12763454.66	12763454.66
35	上海吴孟超医学科技基金会	2014	16001587.09	0	2500050	0		0	0	0	18501637.09	33814373.46	0	0	33814373.46	49212	45340.65	3871.35	0	0	0	3871.35	0	0	52319881.9	0	33800000	0	0		0	0	0	0	33800000	0	0	0	0	0	33800000	18453601.59	66280.31	18519881.9	52319881.9
36	上海唐君远教育基金会	2014	1508185.97	79428635.38	0	0		0	0	0	80936821.35	0	106200000	0	106200000	16926861.12	8749630.01	8177231.11	0	0	0	8177231.11	0	0	195314052.46	0	0	0	17447.55		0	0	0	0	17447.55	0	0	0	0	0	17447.55	89417597.66	105879007.25	195296604.91	195314052.46
37	上海商学院教育发展基金会	2014	3223701.45	0	0	0		0	0	0	3223701.45	0	0	0	0	2648	1460	1188	0	0	0	1188	0	0	3224889.45	0	12	0	0		0	0	0	0	12	0	0	0	0	0	12	602787.45	2622090	3224877.45	3224889.45
38	上海喜玛拉雅文化艺术基金会	2014	2972129.01	0	0	0		0	0	0	2972129.01	0	0	0	0	301190	143067.6	158122.4	0	0	0	158122.4	0	0	3130251.41	0	256.27	0	0		0	0	0	0	256.27	0	0	0	0	0	256.27	3129995.14	0	3129995.14	3130251.41
39	上海嘉宝公益基金会	2014	256658.03	0	0	0		0	0	41452333.33	41708991.36	0	0	0	0	0	0	0	0	0	0	0	0	0	41708991.36	0	1050000	0	0		0	0	0	20000000	21050000	0	0	0	0	0	21050000	2358991.36	18300000	20658991.36	41708991.36
40	上海国泰君安社会公益基金会	2014	4169520.12	5000000	0	0		0	0	0	9169520.12	0	0	0	0	0	0	0	0	0	0	0	0	0	9169520.12	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	9128520.12	41000	9169520.12	9169520.12
41	上海国际经济交流基金会	2014	242261.41	2728553.68	0	0		0	0	0	2970815.09	0	10202608.88	0	10202608.88	44744	30808.79	13935.21	0	0	0	13935.21	0	0	13187359.18	0	185680	0	45		0	0	0	0	185725	0	0	0	0	0	185725	13001634.18	0	13001634.18	13187359.18
42	上海复大公益基金会	2014	6622723.09	0	0	0		0	0	0	6622723.09	0	0	0	0	0	0	0	0	0	0	0	0	0	6622723.09	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	6622723.09	0	6622723.09	6622723.09
43	上海复旦大学教育发展基金会	2014	174833265.41	0	30361.88	0		0	0	0	174863627.29	12000080	118050320.46	0	130050400.46	641831.17	514178.16	127653.01	0	0	0	127653.01	0	0	305041680.76	0	46850.48	0	0		0	0	0	0	128360.48	0	0	0	0	0	128360.48	52338445.62	252574874.66	304913320.28	305041680.76
44	上海复星公益基金会	2014	14319421.79	0	0	0		0	0	0	14319421.79	0	0	0	0	0	0	0	0	0	0	0	0	0	14319421.79	0	400	0	20000		0	0	0	0	20400	0	0	0	0	0	20400	14299021.79	0	14299021.79	14319421.79
45	上海夏征农民族文化教育发展基金会	2014	3614823.77	0	190781.5	0		0	0	0	3805605.27	170000	0	0	170000	28137	18937.3	9199.7	0	0	0	9199.7	0	0	3984804.97	0	1232815.5	0	0		0	0	0	0	1232815.5	0	0	0	0	0	1232815.5	751944.47	2000000	2751944.47	3984759.97
46	上海外国语大学教育发展基金会	2014	14050203.62	0	0	0		0	0	0	14050203.62	0	0	0	0	0	0	0	0	0	0	0	0	0	14050203.62	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	8998016.78	5052186.84	14050203.62	14050203.62
47	上海大成慈善基金会	2014	2095177.94	0	912500	0		0	0	0	3007677.94	0	0	0	0	0	0	0	0	0	0	0	0	0	3007677.94	0	13276.93	50400	0		0	0	0	0	63676.93	0	0	0	0	0	63676.93	2944001.01	0	2944001.01	3007677.94
48	上海天下文化发展基金会	2014	3496698.3	0	0	0		0	0	0	3496698.3	0	0	0	0	0	0	0	0	0	0	0	0	0	3496698.3	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	3496698.3	3496698.3	3496698.3
49	上海宇兴爱心慈善基金会	2014	376273.34	1500000	106500	0		0	0	0	1982773.34	0	0	0	0	5894.01	484.01	5410	0	0	0	5410	0	0	1988183.34	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	1988183.34	0	1988183.34	1988183.34
50	上海宋庆龄基金会	2014	35649623.73	40000000	8000	0		0	0	0	75657679.73	396070000	59407750	0	455477750	1954923.2	1348249.08	606674.12	0	0	0	606674.12	0	0	531742103.85	0	6000	0	612.6		0	0	0	0	56088.6	0	0	0	0	0	56088.6	17954878.95	513731136.3	531686015.25	531742103.85
51	上海富国环保公益基金会	2014	549164.07	2063563.8	0	0		0	0	10967.1	2623694.97	0	0	0	0	0	0	0	0	0	0	0	0	0	2623694.97	0	2308	0	0		0	0	0	0	2308	0	0	0	0	0	2308	2621386.97	0	2621386.97	2623694.97
52	上海工商界爱国建设特种基金会	2014	3696757.04	27500000	2000	0		0	0	0	31198757.04	146449249.62	33625000	0	180074249.62	5582606.83	3226554.14	2356052.69	0	0	0	2356052.69	0	0	213629059.35	0	5611655.19	0	288		0	0	0	0	5611943.19	0	0	0	0	0	5611943.19	198017116.16	10000000	208017116.16	213629059.35
53	上海巴斯德健康研究基金会	2014	6043103.13	0	0	0		0	0	0	6043103.13	0	0	0	0	0	0	0	0	0	0	0	0	0	6043103.13	0	0	0	0		0	0	0	0	0	0	4000000	0	4000000	0	4000000	2043103.13	0	2043103.13	6043103.13
54	上海市中小学幼儿教师奖励基金会	2014	12694401.36	89999315.12	0	0		0	0	0	102725845.5	0	374479.17	0	374479.17	114107	90939	23168	0	0	0	23168	0	0	103123492.67	0	10439087.25	0	226.57		0	0	0	0	10439313.82	0	0	0	0	0	10439313.82	71057478.85	21626700	92684178.85	103123492.67
55	上海市九段沙湿地自然保护基金会	2014	5331600.3	0	0	0		0	0	0	5331600.3	0	0	0	0	0	0	0	0	0	0	0	0	0	5331600.3	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	5331600.3	0	5331600.3	5331600.3
56	上海市人口福利基金会	2014	1092771.85	5500000	0	0		0	0	0	6592771.85	0	0	0	0	106220	14821.6	91398.4	0	0	0	91398.4	0	0	6684170.25	0	0	0	45		0	0	0	0	45	0	0	0	0	0	45	5226298.35	1457826.9	6684125.25	6684170.25
57	上海市体育发展基金会	2014	9638973.22	43500000	6025	0		0	0	0	53449738.22	370000000	0	0	370000000	1573465.7	624967.07	948498.63	0	0	0	948498.63	0	0	424398236.85	0	27592.4	152499	0		0	0	0	0	180091.4	0	0	0	0	0	180091.4	424218145.45	0	424218145.45	424398236.85
58	上海市促进科技成果转化基金会	2014	2863796.41	0	0	0		0	0	0	2863796.41	0	35581395.14	0	35581395.14	30680	28653.8	2026.2	0	0	0	2026.2	0	0	38447217.75	0	80000	0	3091.04		0	0	0	0	733091.04	0	0	0	0	0	733091.04	17714126.71	20000000	37714126.71	38447217.75
59	上海市儿童健康基金会	2014	16366231.75	0	50500	0		0	0	0	21911125	0	0	0	0	3993349.38	945181.29	3048168.09	0	0	0	3048168.09	0	0	24959293.09	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	13810654.54	11148638.55	24959293.09	24959293.09
60	上海市儿童基金会	2014	30540836.09	0	83969.75	0		0	0	0	30624805.84	1437055	0	0	1437055	173150	54850	118300	0	0	0	118300	0	0	32180160.84	0	200000	0	0		0	0	0	0	200000	0	0	0	0	0	200000	10199270.48	21780890.36	31980160.84	32180160.84
61	上海市医药卫生发展基金会	2014	31869593.95	0	724701.52	0		0	0	0	32594295.47	1000000	0	0	1000000	69651	15892.21	53758.79	0	0	0	53758.79	0	0	33648054.26	0	426223.8	0	155484.52		0	0	0	0	581708.32	0	0	0	0	0	581708.32	18808424.56	14257921.38	33066345.94	33648054.26
62	上海市华东师范大学教育发展基金会	2014	158479689.98	8813822.26	857645.04	0		0	0	0	168151157.28	10530000	2000000	0	12530000	228503.37	32561.73	195941.64	0	0	0	195941.64	0	0	180877098.92	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	20711301.93	160165796.99	180877098.92	180877098.92
63	上海市华侨事业发展基金会	2014	9841979.47	6000000	343468.2	0		0	0	0	16185447.67	0	0	0	0	294654	229739.34	64914.66	0	0	0	64914.66	0	0	16250362.33	0	1253761.1	0	0		0	0	0	4995398.36	6249159.46	0	0	0	0	2862427.94	9111587.4	5981571.67	1157203.26	7138774.93	16250362.33
64	上海市卢湾区教育基金会	2014	9301408.97	0	0	0		0	0	0	9301408.97	0	0	0	0	20219	18930.3	1288.7	0	0	0	1288.7	0	0	9302697.67	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	7520738.29	1781959.38	9302697.67	9302697.67
65	上海市卫生系统青年人才奖励基金会	2014	6253355.96	0	0	0		0	0	0	6253355.96	0	0	0	0	0	0	0	0	0	0	0	0	0	6253355.96	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	6253355.96	6253355.96	6253355.96
66	上海市嘉定区教育奖励基金会	2014	3331587.47	12000000	0	0		0	0	0	15331587.47	0	10000000	0	10000000	0	0	0	0	0	0	0	0	0	25331587.47	0	0	43869	0		0	0	0	0	43869	0	0	0	0	0	43869	11261059.17	14026659.3	25287718.47	25331587.47
67	上海市大学生科技创业基金会	2014	1073462243.79	0	196998363.46	0		0	0	0	1270460607.25	310703581.99	0	0	310703581.99	12926075.16	2755681.55	10170393.61	0	0	0	10170393.61	1749.85	0	1591336332.7	0	4010.55	0	1075.88		0	0	0	0	5086.43	0	500000000	0	500000000	0	500005086.43	63581671.71	1027749574.56	1091331246.27	1591336332.7
68	上海市奉贤区教育基金会	2014	3281970.64	13190000	0	0		0	0	0	16471970.64	0	0	0	0	0	0	0	0	0	0	0	0	0	16471970.64	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	16471970.64	0	16471970.64	16471970.64
69	上海市奉贤建设工程科学技术发展基金会	2014	1636468.87	0	20300000	0		0	0	0	21936468.87	1100000	0	0	1100000	6650	6600	50	0	0	0	50	0	0	23036518.87	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	23036518.87	0	23036518.87	23036518.87
70	上海市安济医疗救助基金会	2014	14687824.39	4434252.94	0	0		50000.08	0	0	19936662.94	0	0	0	0	6600976	3467182.54	3133793.46	0	0	0	3133793.46	0	0	23070456.4	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	23070456.4	0	23070456.4	23070456.4
71	上海市宝山区教育发展基金会	2014	7825407.98	0	0	0		0	0	0	7825407.98	0	0	0	0	0	0	0	0	0	0	0	0	0	7825407.98	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	4922982.98	2902425	7825407.98	7825407.98
72	上海市应昌期围棋教育基金会	2014	12438859.23	2000000	0	286516		0	0	0	14839396.23	21725163.26	0	0	21725163.26	394388	322291.53	72096.47	0	0	0	72096.47	0	0	36636655.96	0	0	0	497213.99		0	0	0	2358264	2855477.99	0	0	0	0	0	2855477.99	33801177.97	0	33801177.97	36656655.96
73	上海市建国社会公益基金会	2014	799383.52	36694881.17	96887.5	0		0	0	0	37591152.19	11443140.57	0	0	11443140.57	14572410	3711368.13	10861041.87	0	0	0	10861041.87	0	0	59895334.63	0	3945879.89	0	180957.13		0	0	0	0	4568503.69	0	0	0	0	0	4568503.69	27362128.79	27964702.15	55326830.94	59895334.63
74	上海市徐汇区教育基金会	2014	23256352.98	0	1300000	0		0	0	0	24556352.98	20000	0	0	20000	0	0	0	0	0	0	0	0	0	24576352.98	0	372995.82	0	0		0	0	0	0	372995.82	0	0	0	0	0	372995.82	14948744.4	9254612.76	24203357.16	24576352.98
75	上海市慈善基金会	2014	1136411558.32	30232373.45	16957259.97	22500		0	0	0	1194321879.26	556303522.37	525000000	0	1081303522.37	72637001.61	21940137.76	50696863.85	31832170.8	946000	0	83475034.65	291871.61	0	2359392307.89	0	24089327.94	0	14178.16		0	0	0	0	24103506.1	0	0	0	0	0	24103506.1	866656496.47	1468632305.32	2335288801.79	2359392307.89
76	上海市拥军优属基金会	2014	101032710.93	213628794.89	18378416.17	0		0	0	0	333039921.99	216517499.41	16489719.56	0	233007218.97	87689334	17810409.93	69878924.07	0	0	0	69878924.07	372237.5	0	636298302.53	0	23220621.7	0	6337.88		0	0	0	0	23226959.58	0	0	0	0	0	23226959.58	678966466.45	3899457.5	682865923.95	706092883.53
77	上海市教育发展基金会	2014	14886756.31	216902630	1307897.26	0		0	0	0	233097283.57	0	0	0	0	6256561.72	1699690.2	4556871.52	24516464.3	0	0	29073335.82	0	0	262170619.39	0	25794740.41	0	20933.24		0	0	0	0	25815673.65	0	0	0	0	0	25815673.65	208048225.98	28306719.76	236354945.74	262170619.39
78	上海市普陀区教育奖励基金会	2014	83820.96	11400000	0	0		0	0	0	11483820.96	2000000	0	0	2000000	0	0	0	0	0	0	0	0	0	13483820.96	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	13483820.96	0	13483820.96	13483820.96
79	上海市杨浦区教育奖励基金会	2014	4813183.9	0	0	0		0	0	0	4813183.9	76860.6	0	0	76860.6	0	0	0	0	0	0	0	0	0	4890044.5	0	194479.48	0	0		0	0	0	0	194479.48	0	0	0	0	0	194479.48	3298423.57	1397141.45	4695565.02	4890044.5
80	上海市残疾人福利基金会	2014	13835728.02	0	55060	0		0	0	0	14947956.02	0	0	0	0	1065735	703289.51	362445.49	0	0	0	362445.49	530000	0	15840401.51	0	54671.8	0	0		0	0	0	0	54671.8	0	0	0	0	0	54671.8	11276878.73	4508850.98	15785729.71	15840401.51
81	上海市帮困互助基金会	2014	54406657.73	78995897.91	0	800000		0	0	0	134202555.64	0	0	0	0	341639	257591.99	84047.01	0	0	0	84047.01	0	0	134286602.65	0	1130.8	56.49	0		0	0	0	0	1187.29	0	0	0	0	0	1187.29	134285415.36	0	134285415.36	134286602.65
82	上海市浦东新区教育发展基金会	2014	1230359.75	10327044.09	0	0		0	0	0	11557403.84	0	0	0	0	418884.05	92271.5	326612.55	0	0	0	326612.55	0	0	11884016.39	0	0	0	0		0	0	0	0	0	0	0	0	0	639800	639800	11244216.39	0	11244216.39	11884016.39
83	上海市爱心帮教基金会	2014	30468108.74	2000000	0	0		0	0	0	32468108.74	0	0	0	0	120760	98630.73	22129.27	0	0	0	22129.27	0	0	32490238.01	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	30505701.81	1984536.2	32490238.01	32490238.01
84	上海市甬协公益基金会	2014	104108.3	0	1000000	0		0	0	0	1104108.3	0	5000000	0	5000000	0	0	0	0	0	0	0	0	0	6104108.3	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	6104108.3	0	6104108.3	6104108.3
85	上海市科普基金会	2014	11143003.38	0	4320	0		8640	0	0	11155963.38	0	0	0	0	21250	20607.84	642.16	0	0	0	642.16	0	0	11156605.54	0	0	0	0		0	0	0	0	0		0	0	0	0	0	11156605.54	0	11156605.54	11156605.54
86	上海市老年基金会	2014	193285839.22	100100000	128290	0		18769.2	0	0	293968318.42	575600	94500000	0	95075600	4608586.16	2436243.05	2172343.11	0	0	0	2172343.11	159200	0	391375461.53	0	12028612.15	0	0		0	0	0	0	12028612.15	0	0	0	0	0	12028612.15	320052242.8	59294606.58	379346849.38	391375461.53
87	上海市职工帮困基金会	2014	86876186.39	0	12000	0		0	0	0	86888186.39	0	0	0	0	265580.94	50628.33	214952.61	0	0	0	214952.61	0	0	87103139	0	214738.31	0	0		0	0	0	0	214738.31	0	0	0	0	0	214738.31	24400770.24	62487630.45	86888400.69	87103139
88	上海市自然与健康基金会	2014	1846262.58	7639028.59	0	0		0	0	0	9485291.17	0	0	0	0	0	0	0	0	0	0	0	0	0	9485291.17	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	9485291.17	0	9485291.17	9485291.17
89	上海市虹口区教育基金会	2014	10858093.11	0	0	0		0	0	0	10858093.11	70000	0	0	70000	3928304.64	0	3928304.64	0	0	0	3928304.64	0	0	14856397.75	0	3310462	0	0		0	0	0	0	3310462	0	0	0	0	0	3310462	6158170.41	5387765.34	11545935.75	14856397.75
90	上海市长宁区教育基金会	2014	37270412.42	0	5040	0		0	0	0	37275452.42	0	0	0	0	0	0	0	0	0	0	0	0	0	37275452.42	0	35000	0	0		0	0	0	0	35000	0	0	0	0	0	35000	37240452.42	0	37240452.42	37275452.42
91	上海市闵行区中小幼教师奖励基金会	2014	418993.3	11000000	853.13	0		0	0	0	11419846.43	0	0	0	0	11717	6347.15	5369.85	0	0	0	5369.85	0	0	11425216.28	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	10200554.28	1224662	11425216.28	11425216.28
92	上海市闸北区教育基金会	2014	11241299.99	0	0	0		0	0	0	11241299.99	0	0	0	0	0	0	0	0	0	0	0	0	0	11241299.99	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	11241299.99	0	11241299.99	11241299.99
93	上海市防癌抗癌事业发展基金会	2014	7435318.24	0	1700000	0		0	0	0	9135318.24	0	0	0	0	0	0	0	0	0	0	0	0	0	9135318.24	0	0	0	0		0	0	0	0	500000	0	0	0	0	0	500000	8635318.24	0	8635318.24	9135318.24
94	上海市青少年发展基金会	2014	91867141.93	0	150000	0		0	0	372630.2	92389772.13	0	0	0	0	46287979.03	0	46287979.03	0	0	0	46287979.03	0	0	138677751.16	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	65269330.42	73408420.74	138677751.16	138677751.16
